2026-08-05 10:45:30,667 REQ-B52181 | /rowlock/status/ | VIEW | 2173ms | 3 | SLOW
2026-08-05 10:45:30,667 REQ-B52181 | /rowlock/status/ | MW_MODULE_ACCESS | 2180ms | 0 | SLOW
2026-08-05 10:45:30,667 REQ-B52181 | /rowlock/status/ | TEMPLATE | 0ms | 0 | OK
2026-08-05 10:45:30,667 REQ-B52181 | /rowlock/status/ | TOTAL | 2186ms | 3 | SLOW
2026-08-05 16:22:23,798 REQ-45BBB7 | /nickle_inspection/api/action/ | MIDDLEWARE_AUTH | 2ms | 0 | OK
2026-08-05 16:22:23,798 REQ-45BBB7 | /nickle_inspection/api/action/ | DB | 13ms | 8 | OK
2026-08-05 16:22:23,798 REQ-45BBB7 | /nickle_inspection/api/action/ | VIEW | 1637ms | 8 | SLOW
2026-08-05 16:22:23,798 REQ-45BBB7 | /nickle_inspection/api/action/ | MW_MODULE_ACCESS | 1649ms | 0 | SLOW
2026-08-05 16:22:23,798 REQ-45BBB7 | /nickle_inspection/api/action/ | TEMPLATE | 0ms | 0 | OK
2026-08-05 16:22:23,798 REQ-45BBB7 | /nickle_inspection/api/action/ | TOTAL | 1652ms | 8 | SLOW
2026-08-05 16:22:36,971 REQ-AFCD9A | /accounts/login/ | MIDDLEWARE_AUTH | 0ms | 0 | OK
2026-08-05 16:22:36,971 REQ-AFCD9A | /accounts/login/ | DB | 14ms | 16 | OK
2026-08-05 16:22:36,971 REQ-AFCD9A | /accounts/login/ | VIEW | 3968ms | 16 | SLOW
2026-08-05 16:22:36,971 REQ-AFCD9A | /accounts/login/ | MW_MODULE_ACCESS | 3980ms | 0 | SLOW
